city,aspect,mentions,pct_negative,reliable_sample
Abbottabad,taste,5872,41.28065395095368,True
Abbottabad,quantity,2683,59.895639209839736,True
Abbottabad,price,996,61.64658634538153,True
Abbottabad,delivery_rider,974,48.56262833675565,True
Abbottabad,hygiene,506,85.37549407114624,True
Abbottabad,packaging,487,53.59342915811089,True
Abbottabad,service,255,51.76470588235295,True
Bahawalpur,taste,9630,38.795430944963655,True
Bahawalpur,quantity,3672,52.75054466230937,True
Bahawalpur,delivery_rider,1402,47.07560627674751,True
Bahawalpur,price,1271,57.35641227380016,True
Bahawalpur,packaging,1113,36.837376460017964,True
Bahawalpur,hygiene,760,85.78947368421052,True
Bahawalpur,service,468,53.84615384615385,True
Dera Ghazi Khan,taste,648,32.71604938271605,True
Dera Ghazi Khan,quantity,230,56.95652173913044,True
Dera Ghazi Khan,delivery_rider,143,42.65734265734265,True
Dera Ghazi Khan,price,103,62.13592233009708,True
Dera Ghazi Khan,hygiene,50,70.0,True
Dera Ghazi Khan,packaging,48,43.75,True
Dera Ghazi Khan,service,45,44.44444444444444,True
Faisalabad,taste,23752,38.48939036712698,True
Faisalabad,quantity,9646,56.71781049139539,True
Faisalabad,price,3447,56.193791702930085,True
Faisalabad,delivery_rider,3413,49.39935540580135,True
Faisalabad,packaging,2186,52.24153705397987,True
Faisalabad,hygiene,1665,83.72372372372372,True
Faisalabad,service,923,56.44637053087757,True
Gujranwala,taste,9885,35.518462316641376,True
Gujranwala,quantity,3426,54.903677758318736,True
Gujranwala,delivery_rider,1393,48.16941852117731,True
Gujranwala,price,1342,59.910581222056635,True
Gujranwala,packaging,803,54.66998754669987,True
Gujranwala,hygiene,721,83.49514563106796,True
Gujranwala,service,393,55.216284987277355,True
Gujrat,taste,4864,34.72450657894737,True
Gujrat,quantity,1871,56.7076429716729,True
Gujrat,delivery_rider,834,46.402877697841724,True
Gujrat,price,680,59.85294117647059,True
Gujrat,packaging,443,48.98419864559819,True
Gujrat,hygiene,367,80.10899182561307,True
Gujrat,service,174,59.77011494252874,True
Hyderabad,taste,16037,36.016711354991585,True
Hyderabad,quantity,6571,53.90351544665957,True
Hyderabad,delivery_rider,3109,43.004181408813125,True
Hyderabad,price,3028,55.317040951122856,True
Hyderabad,hygiene,1722,81.76538908246226,True
Hyderabad,packaging,1288,50.77639751552795,True
Hyderabad,service,897,46.599777034559644,True
Islamabad,taste,34732,43.3749856040539,True
Islamabad,quantity,14866,56.00699582940939,True
Islamabad,price,6383,59.18846937176876,True
