city,pct_negative,pct_neutral,pct_positive,review_count,avg_star_rating,agreement_rate,avg_confidence,top_complaint_aspect,reliable_sample
Karachi,46.433992855712525,8.903229140424653,44.662778003862826,464427,3.2032160059600323,84.7,0.756,taste,True
Lahore,45.84014585134451,8.622744029994491,45.537110118661,446482,3.2754646323927954,85.3,0.755,taste,True
Islamabad,48.46161661878943,8.41099914098076,43.12738424022981,108263,3.1991169651681552,86.0,0.757,taste,True
Rawalpindi,45.00530711152945,8.211002743676527,46.78369014479403,99866,3.3141910159613883,86.1,0.757,taste,True
Faisalabad,46.2122019955823,9.336583136567903,44.4512148678498,65645,3.17207708127047,84.7,0.751,taste,True
Multan,45.91057223954866,9.92571048112976,44.16371727932159,57074,3.170375302239198,84.8,0.746,taste,True
Hyderabad,41.786071309563475,10.021220996509935,48.192707693926586,57019,3.2657710587698836,83.3,0.745,taste,True
Sialkot,44.40908771847727,8.89351646037577,46.69739582114696,42739,3.240833898780973,84.9,0.754,taste,True
Sargodha,44.73289699806209,9.104537643058247,46.16256535887967,27349,3.2169000694723757,84.3,0.746,taste,True
Bahawalpur,43.28880055941997,10.371351808913916,46.33984763166612,27171,3.2543152625961502,84.4,0.746,taste,True
Gujranwala,42.99058323207777,9.044653705953827,47.964763061968405,26336,3.29013517618469,85.5,0.754,taste,True
Peshawar,47.25825471698113,9.850909703504044,42.89083557951482,23744,3.1310225741239894,85.3,0.741,taste,True
Abbottabad,47.05652149605859,9.095991502208307,43.84748700173311,17887,3.115670598758875,85.5,0.745,taste,True
Gujrat,42.15625644197073,8.520579949151378,49.3231636088779,14553,3.266955266955267,84.9,0.753,taste,True
Sahiwal,42.778551532033426,9.484679665738161,47.73676880222841,14360,3.2591225626740945,84.5,0.746,taste,True
Wah Cantt,42.86155032780563,8.7157732356344,48.42267643655997,12965,3.3354415734670266,85.3,0.742,taste,True
Rahim Yar Khan,41.99432892249527,9.688090737240076,48.31758034026465,10580,3.245085066162571,83.9,0.736,taste,True
Quetta,46.91280767626199,10.106382978723403,42.980809345014606,9588,3.0217980809345013,84.3,0.75,taste,True
Jhelum,40.68121851763012,9.24682177980331,50.07195970256656,8338,3.3294555049172465,85.4,0.747,taste,True
Sukkur,46.84732554020545,10.290471130003542,42.862203329791,5646,3.05083244775062,83.2,0.746,taste,True
Sheikhupura,41.097046413502106,8.90295358649789,50.0,2370,3.2962025316455694,85.4,0.743,taste,True
Dera Ghazi Khan,39.36972924988903,11.495783399911229,49.134487350199734,2253,3.3067021748779406,85.7,0.729,taste,True
Larkana,39.348025711662075,10.606060606060606,50.04591368227732,2178,3.2805325987144167,86.4,0.731,taste,True
Okara,38.58800773694391,10.735009671179883,50.67698259187621,2068,3.4347195357833655,86.5,0.731,taste,True
Sadiqabad,43.52589641434263,8.864541832669323,47.60956175298805,2008,3.237549800796813,84.8,0.748,taste,True
Mardan,46.21026894865526,7.986960065199673,45.80277098614507,1227,3.147514262428688,86.6,0.738,taste,True
Murree,60.29411764705882,7.352941176470589,32.35294117647059,68,2.8529411764705883,89.7,0.782,taste,False
