month,aspect,mentions
2024-02,delivery_rider,1590
2024-02,hygiene,838
2024-02,packaging,893
2024-02,price,1733
2024-02,quantity,4180
2024-02,service,417
2024-02,taste,10435
2024-03,delivery_rider,1686
2024-03,hygiene,1103
2024-03,packaging,1209
2024-03,price,2157
2024-03,quantity,5111
2024-03,service,447
2024-03,taste,12313
2024-04,delivery_rider,2320
2024-04,hygiene,1469
2024-04,packaging,1364
2024-04,price,2826
2024-04,quantity,6662
2024-04,service,621
2024-04,taste,15356
2024-05,delivery_rider,3669
2024-05,hygiene,2175
2024-05,packaging,1966
2024-05,price,3745
2024-05,quantity,9227
2024-05,service,859
2024-05,taste,21496
2024-06,delivery_rider,4010
2024-06,hygiene,2451
2024-06,packaging,2077
2024-06,price,3893
2024-06,quantity,9693
2024-06,service,920
2024-06,taste,21939
2024-07,delivery_rider,4359
2024-07,hygiene,2695
2024-07,packaging,2354
2024-07,price,4081
2024-07,quantity,10261
2024-07,service,975
2024-07,taste,23419
2024-08,delivery_rider,4402
2024-08,hygiene,2473
2024-08,packaging,2344
2024-08,price,4044
2024-08,quantity,10750
2024-08,service,1017
2024-08,taste,23736
2024-09,delivery_rider,4332
2024-09,hygiene,2345
2024-09,packaging,2341
2024-09,price,4064
2024-09,quantity,10514
2024-09,service,913
2024-09,taste,23920
2024-10,delivery_rider,4550
2024-10,hygiene,2328
2024-10,packaging,2423
2024-10,price,4202
2024-10,quantity,10995
2024-10,service,946
2024-10,taste,25869
2024-11,delivery_rider,4567
2024-11,hygiene,2338
2024-11,packaging,2453
2024-11,price,4193
2024-11,quantity,10953
2024-11,service,1035
2024-11,taste,25598
2024-12,delivery_rider,4581
2024-12,hygiene,2313
2024-12,packaging,2730
2024-12,price,4337
2024-12,quantity,11071
2024-12,service,1036
2024-12,taste,26651
2025-01,delivery_rider,4229
2025-01,hygiene,2319
2025-01,packaging,2696
2025-01,price,4170
2025-01,quantity,10892
2025-01,service,951
2025-01,taste,25940
2025-02,delivery_rider,2622
2025-02,hygiene,2113
2025-02,packaging,2131
2025-02,price,3538
2025-02,quantity,9069
2025-02,service,763
2025-02,taste,21161
2025-03,delivery_rider,2491
2025-03,hygiene,1813
2025-03,packaging,1761
2025-03,price,2781
2025-03,quantity,6962
2025-03,service,665
2025-03,taste,16708
2025-04,delivery_rider,4116
2025-04,hygiene,2429
2025-04,packaging,2357
2025-04,price,3996
2025-04,quantity,10188
2025-04,service,919
2025-04,taste,23534
2025-05,delivery_rider,1317
2025-05,hygiene,2352
2025-05,packaging,2135
2025-05,price,3543
2025-05,quantity,9555
2025-05,service,794
2025-05,taste,21980
2025-06,delivery_rider,4367
2025-06,hygiene,2567
2025-06,packaging,2352
2025-06,price,3438
2025-06,quantity,9173
2025-06,service,1320
2025-06,taste,21414
2025-07,delivery_rider,3732
2025-07,hygiene,2778
2025-07,packaging,2496
2025-07,price,4013
2025-07,quantity,10216
2025-07,service,1714
2025-07,taste,24377
2025-08,delivery_rider,4025
2025-08,hygiene,2681
2025-08,packaging,2450
2025-08,price,4105
2025-08,quantity,10781
2025-08,service,1783
2025-08,taste,24897
2025-09,delivery_rider,2974
2025-09,hygiene,2444
2025-09,packaging,2315
2025-09,price,3755
2025-09,quantity,9720
2025-09,service,1622
2025-09,taste,22778
2025-10,delivery_rider,4081
2025-10,hygiene,2448
2025-10,packaging,2387
2025-10,price,3835
2025-10,quantity,9926
2025-10,service,1675
2025-10,taste,23454
2025-11,delivery_rider,2343
2025-11,hygiene,2249
2025-11,packaging,2299
2025-11,price,3714
2025-11,quantity,9568
2025-11,service,1579
2025-11,taste,22966
2025-12,delivery_rider,1092
2025-12,hygiene,2266
2025-12,packaging,2249
2025-12,price,3710
2025-12,quantity,9511
2025-12,service,1577
2025-12,taste,22382
2026-01,delivery_rider,376
2026-01,hygiene,1127
2026-01,packaging,1080
2026-01,price,1820
2026-01,quantity,4687
2026-01,service,782
2026-01,taste,11404
